Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,4020,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,car(new),5866,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),business,1264,Savings account,> 7 years,4,male : single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 3 year,12,existing credits paid back duly till now,furniture/equipment,1474,Savings account, < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,33,bank,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,45,critical account/ other credits existing (not at this bank),radio/television,4746,Savings account, < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,None,yes,2
No Checking account,48,critical account/ other credits existing (not at this bank),education,6110,Savings account,1 - 4 years,1,male : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,18,existing credits paid back duly till now,radio/television,2100,Savings account,1 - 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 3 year,10,existing credits paid back duly till now,domestic appliances,1225,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,radio/television,458,Savings account,1 - 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,30,existing credits paid back duly till now,radio/television,2333,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",30,bank,own,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,1158,Savings account,1 - 4 years,3,male : divorced/separated,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,delay in paying off in the past,repairs,6204,Savings account,1 - 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),car(used),6187,Savings account,4- 7 years,1,male : married/widowed,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,48,critical account/ other credits existing (not at this bank),car(used),6143,Savings account,> 7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,None,yes,2
No Checking account,11,critical account/ other credits existing (not at this bank),car(new),1393,Savings account, < 1 year,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",35,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
No Checking account,36,existing credits paid back duly till now,radio/television,2299,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,6,existing credits paid back duly till now,car(used),1352,Savings account,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1
No Checking account,11,critical account/ other credits existing (not at this bank),car(new),7228,Savings account,1 - 4 years,1,male : single,none,4,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,None,yes,1
No Checking account,12,existing credits paid back duly till now,radio/television,2073,Savings account,1 - 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,delay in paying off in the past,furniture/equipment,2333,Savings account, < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,27,delay in paying off in the past,car(used),5965,Savings account,> 7 years,1,male : single,none,2,"car or other, not in attribute 6",30,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,radio/television,1262,Savings account,1 - 4 years,3,male : single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,car(used),3378,Savings account,1 - 4 years,2,male : single,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,36,delay in paying off in the past,car(new),2225,Savings account,> 7 years,4,male : single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,6,all credits at this bank paid back duly,car(new),783,Savings account,1 - 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,6468,Savings account,unemployed,2,male : single,none,1,unknown / no property,52,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,18,existing credits paid back duly till now,car(new),1961,Savings account,> 7 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 1 year,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,Savings account, < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,9,existing credits paid back duly till now,business,1391,Savings account,1 - 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,15,critical account/ other credits existing (not at this bank),radio/television,1537,Savings account,> 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,36,no credits taken/ all credits paid back duly,business,1953,Savings account,> 7 years,4,male : single,none,4,unknown / no property,61,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,48,no credits taken/ all credits paid back duly,business,14421,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,24,existing credits paid back duly till now,radio/television,3181,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,27,existing credits paid back duly till now,repairs,5190,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,radio/television,2171,Savings account, < 1 year,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),1007,Savings account,1 - 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,36,existing credits paid back duly till now,education,1819,Savings account,1 - 4 years,4,male : single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,36,existing credits paid back duly till now,radio/television,2394,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,36,existing credits paid back duly till now,car(used),8133,Savings account,1 - 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,None,yes,1
No Checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,Savings account,> 7 years,4,male : single,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,8,critical account/ other credits existing (not at this bank),others,1164,Savings account,> 7 years,3,male : single,none,4,unknown / no property,51,bank,for free,2,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,42,critical account/ other credits existing (not at this bank),business,5954,Savings account,4- 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,education,1977,Savings account,> 7 years,4,male : single,none,4,unknown / no property,40,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(used),1526,Savings account,> 7 years,4,male : single,none,4,unknown / no property,66,none,for free,2,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 1 year,42,existing credits paid back duly till now,radio/television,3965,Savings account, < 1 year,4,male : single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,11,delay in paying off in the past,radio/television,4771,Savings account,4- 7 years,2,male : single,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,54,no credits taken/ all credits paid back duly,car(used),9436,Savings account,1 - 4 years,2,male : single,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 2 year,30,existing credits paid back duly till now,furniture/equipment,3832,Savings account, < 1 year,2,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,radio/television,5943,Savings account, < 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,15,existing credits paid back duly till now,radio/television,1213,Savings account,> 7 years,4,male : single,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,18,existing credits paid back duly till now,business,1568,Savings account,1 - 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,others,1755,Savings account,> 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,10,existing credits paid back duly till now,radio/television,2315,Savings account,> 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,None,yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),business,1412,Savings account,1 - 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,Savings account, < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,education,12612,Savings account,1 - 4 years,1,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,18,existing credits paid back duly till now,car(new),2249,Savings account,4- 7 years,4,male : single,none,3,"car or other, not in attribute 6",30,none,own,1,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,no credits taken/ all credits paid back duly,repairs,1108,Savings account,4- 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee / official,1,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,Savings account,> 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(used),1409,Savings account,> 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,Savings account,> 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,None,yes,2
Salary assignments for at least 3 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,Savings account,> 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),1318,Savings account,> 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,54,no credits taken/ all credits paid back duly,business,15945,Savings account, < 1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),education,2012,Savings account,4- 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,business,2622,Savings account,1 - 4 years,4,male : single,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,36,critical account/ other credits existing (not at this bank),radio/television,2337,Savings account,> 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,20,delay in paying off in the past,car(used),7057,Savings account,4- 7 years,3,male : single,none,4,building society savings agreement/ life insurance,36,bank,rent,2,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,car(new),1469,Savings account,> 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,radio/television,2323,Savings account,4- 7 years,4,male : single,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,None,yes,1
No Checking account,6,delay in paying off in the past,radio/television,932,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,Savings account,4- 7 years,4,male : single,none,3,"car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,car(used),2445,Savings account, < 1 year,2,male : married/widowed,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),others,11938,Savings account,1 - 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,2
No Checking account,18,all credits at this bank paid back duly,car(new),6458,Savings account,> 7 years,2,male : single,none,4,unknown / no property,39,bank,own,2,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),6078,Savings account,4- 7 years,2,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,7721,Savings account, < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,1
Salary assignments for at least 2 year,14,existing credits paid back duly till now,business,1410,Savings account,> 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,6,delay in paying off in the past,business,1449,Savings account,> 7 years,1,male : divorced/separated,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,None,yes,1
Salary assignments for at least 3 year,15,existing credits paid back duly till now,education,392,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,car(new),6260,Savings account,4- 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,None,yes,1
No Checking account,36,critical account/ other credits existing (not at this bank),car(new),7855,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1680,Savings account,> 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,Savings account,> 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,42,existing credits paid back duly till now,radio/television,7174,Savings account,4- 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,Savings account, < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,None,no,1
Salary assignments for at least 1 year,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,Savings account,1 - 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),car(new),2366,Savings account,4- 7 years,3,male : divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,21,existing credits paid back duly till now,radio/television,1835,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),car(used),3868,Savings account,> 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",41,none,rent,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,furniture/equipment,1768,Savings account,1 - 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 3 year,10,critical account/ other credits existing (not at this bank),car(new),781,Savings account,> 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,furniture/equipment,1924,Savings account, < 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(new),2121,Savings account,1 - 4 years,4,male : single,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,701,Savings account,1 - 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,repairs,639,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),car(used),1860,Savings account,unemployed,4,male : single,none,2,"car or other, not in attribute 6",34,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(new),3499,Savings account,1 - 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,48,existing credits paid back duly till now,car(new),8487,Savings account,4- 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,36,delay in paying off in the past,education,6887,Savings account,1 - 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,15,existing credits paid back duly till now,furniture/equipment,2708,Savings account, < 1 year,2,male : single,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,furniture/equipment,1984,Savings account,1 - 4 years,4,male : single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,None,yes,1
No Checking account,60,existing credits paid back duly till now,radio/television,10144,Savings account,4- 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
